Section,Part_Number,Size,Finish,Quantity,OEM_Number
Washers,1662PK,8mm              8.20mm,Bright Zinc,100 Pcs.,
Washers,1663PK,10mm             10.20mm,Bright Zinc,50 Pcs.,
Washers,1664PK,12mm             12.20mm,Bright Zinc,25 Pcs.,
Washers,1665PK,14mm             14.20mm,Bright Zinc,50 Pcs.,
Nuts,12276PK,5-.80mm            8mm                   1,Bright Zinc,50 Pcs.,
Nuts,12280PK,12-1.25mm           17mm                  24,Bright Zinc,10 Pcs.,
Nuts,861PK,4-.70mm                      7mm,Bright Zinc,50 Pcs.,
Nuts,862PK,5-.80mm                      8mm,Bright Zinc,50 Pcs.,
Nuts,863PK,6-1.00mm                     10mm,Bright Zinc,100 Pcs.,
Nuts,865PK,8-1.25mm                     13mm,Bright Zinc,100 Pcs.,
Nuts,866PK,10-1.50mm                     17mm,Bright Zinc,50 Pcs.,
Nuts,12255PK,12-1.50mm                     19mm,Bright Zinc,25 Pcs.,
Nuts,867PK,12-1.75mm                     19mm,Bright Zinc,25 Pcs.,
Nuts,868PK,14-2.00mm                     22mm,Bright Zinc,25 Pcs.,
Nuts,12246PK,5-0.80mm                     8mm,Bright Zinc,100 Pcs.,
Nuts,12247PK,6-1.00mm                     10mm,Bright Zinc,100 Pcs.,
Nuts,12248PK,8-1.25mm                     13mm,Bright Zinc,100 Pcs.,
Nuts,12249PK,10-1.50mm                     17mm,Bright Zinc,100 Pcs.,
Nuts,12250PK,12-1.75mm                     19mm,Bright Zinc,100 Pcs.,
