Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts Nylon,1997PK,8mm Stem Length 13mm Head Diameter 7.50mm Hole Size Tail Light Screw Grommets,8mm Stem Length 13mm Head Diameter 7.50mm Hole Size Black Nylon Tail Light Screw Grommets,Black Nylon,25 Pcs.,#8 (4.20mm) Screw Size; G.M. # 3997391; V.W. # 179-813-881
Nuts Nylon,10922PK,10mm Stem Length 14.50 x 16.70mm Head Size Scuﬀ Plate Screw Grommets,10mm Stem Length 14.50 x 16.70mm Head Size Maroon Nylon Scuﬀ Plate Screw Grommets,,15 Pcs.,#8 (4.20mm) Screw Size; V.W. # 1J0-853-120
Nuts Nylon,10918PK,11mm Stem Length 7.00 x 12.00mm Head Diameter 7mm Hole Size Inner Fender Screw Grommets,11mm Stem Length 7.00 x 12.00mm Head Diameter 7mm Hole Size Black Nylon Inner Fender Screw Grommets Volkswagen,Black Nylon,25 Pcs.,#8 (4.20mm) Screw Size; V.W. # 811-807-577C
Nuts Nylon,15308PK,13mm Stem Length 11mm Head Diameter 6.50 x 8.00mm Hole Size Screw Grommets,13mm Stem Length 11mm Head Diameter 6.50 x 8.00mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; V.W. # 165-827-592
Fender Apron Screw Grommets,12478PK,13mm Stem Length 15mm Head Diameter,13mm Stem Length 15mm Head Diameter Black Nylon,Black Nylon,15 Pcs.,#8 (4.20mm) Screw Size; V.W. # N908-338-01
Fender Apron Screw Grommets,10943PK,18mm Stem Length 16mm Head Diameter 8mm Hole Size,18mm Stem Length 16mm Head Diameter 8mm Hole Size Black Nylon Interior Frame Nuts,Black Nylon,25 Pcs.,#8 (4.20mm) Screw Size; V.W. # 4A0-857-610
Fender Apron Screw Grommets,10938PK,18.50mm Stem Length 16mm Head Diameter 8.50mm Hole Size Screw Grommets,18.50mm Stem Length 16mm Head Diameter 8.50mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; V.W. # 321-813-998A
Bumper & Fender,10926PK,20mm Stem Length 15mm Head Diameter 9mm Hole Size Screw Grommets,20mm Stem Length 15mm Head Diameter 9mm Hole Size Black Nylon Screw Grommets,Black Nylon,15 Pcs.,#8 (4.20mm) Screw Size; V.W. # N908-214-01
Bumper & Fender,12585PK,12.50mm Stem Length 12mm Head Diameter Screw Grommets,12.50mm Stem Length 12mm Head Diameter Black Nylon Screw Grommets,Black Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Audi # 867-809-966; V.W. # 811-807-557-C
Bumper & Fender,13322PK,15mm Stem Length 12mm Head Diameter 6.50 x 8.00mm Hole Size Screw Grommets,15mm Stem Length 12mm Head Diameter 6.50 x 8.00mm Hole Size Black Nylon Screw Grommets,Black Nylon,25 Pcs.,#10 (4.80mm) Screw Size; V.W. # 6N0-809-966A
Door Trim Panel Grommets,10942PK,"20mm Stem Length 16mm Head Diameter 8mm Hole Size Pin and Grommets 10959Pk      5/16"" (8mm) Hole Size 11mm Stem Length 13.20mm Head Diameter 6mm Pin Diameter Pin and Grommets","20mm Stem Length 16mm Head Diameter 8mm Hole Size Black Nylon Pin and Grommets 10959Pk      5/16"" (8mm) Hole Size 11mm Stem Length 13.20mm Head Diameter 6mm Pin Diameter Natural Nylon Volkswagen Pin and Grommets",Black Nylon,50 Pcs.,#10 (4.80mm) Screw Size; V.W. # 357-827-998; Use With # 10958; V.W. # 3B0-867-334
Retainers Shield,10958PK,6mm Pin Diameter 16mm Stem Length 12.50mm Head Diameter,6mm Pin Diameter 16mm Stem Length 12.50mm Head Diameter Natural Nylon,Natural Nylon,25 Pcs.,Use With # 10959; V.W. # 3B0-867-333
Retainers Shield,10934PK,"15/64"" (6mm) Hole Size 16mm Stem Length 14mm Head Diameter","15/64"" (6mm) Hole Size 16mm Stem Length 14mm Head Diameter Black Nylon Shield Retainers",Black Nylon,50 Pcs.,V.W. # 823-863-203
Retainers Hood Prop Rod,9485PK,"9/32"" (7mm) Hole Size 3/4"" Stem Length 15/16"" Head Diameter","9/32"" (7mm) Hole Size 3/4"" Stem Length 15/16"" Head Diameter Black Nylon",Black Nylon,25 Pcs.,Chrysler # 6032363; Ford # 385661-S; V.W. # N989022
Retainers Hood Insulation,15722PK,"9/32"" (7mm) Square Hole Size 8mm Rod Size 15mm Head Size","9/32"" (7mm) Square Hole Size 8mm Rod Size 15mm Head Size Black Nylon",Black Nylon,25 Pcs.,V.W. # 6N0-823-397-AC
Hood Insulation Retainers,10944PK,"15/32"" (12mm) Hole Sizez 13mm Stem Length 20.00 x 25.00mm Head Size","15/32"" (12mm) Hole Sizez 13mm Stem Length 20.00 x 25.00mm Head Size Black Nylon",Black Nylon,15 Pcs.,V.W. # 1H5-863-849-01C
Clips Retaining,10953PK,"15/32"" (12mm) Hole Size 13mm Stem Length 30.00 x 23.00mm Head Size","15/32"" (12mm) Hole Size 13mm Stem Length 30.00 x 23.00mm Head Size Black Nylon",Black Nylon,15 Pcs.,V.W. # 867-863-849-A01C
Retainers Weatherstrip,12516PK,"5/16"" (8mm) Hole Size 18mm Stem Length 14mm Head Diameter","5/16"" (8mm) Hole Size 18mm Stem Length 14mm Head Diameter Black Nylon Retaining Clips",Black Nylon,25 Pcs.,V.W. # 801-867-299-01C
Retainers Weatherstrip,10929PK,"11/64"" (4.50mm) Hole Size 10mm Stem Length 5.00 x 13.00mm Head Size","11/64"" (4.50mm) Hole Size 10mm Stem Length 5.00 x 13.00mm Head Size Black Nylon Weatherstrip Retainers Volkswagen",Black Nylon,25 Pcs.,V.W. # 251-823-717
Retainers Weatherstrip,12614PK,"15/64"" (6mm) Hole Size 17mm Stem Length 6.00 x 15.00mm Head Size Black Nylon Clear Grommet","15/64"" (6mm) Hole Size 17mm Stem Length 6.00 x 15.00mm Head Size Black Nylon Clear Grommet Weatherstrip Retainers",Black Nylon,25 Pcs.,Audi A3; V.W. # 1H0-837-719
Retainers Push Type,18904PK,"5/16"" (8mm) Hole Size 8mm Stem Length 6 x 14mm Top Head Size","5/16"" (8mm) Hole Size 8mm Stem Length 6 x 14mm Top Head Size Black Nylon",Black Nylon,25 Pcs.,Volkswagen # 3D0-823-717
